City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
382,Tarko-Sale,RU,64.9225,77.785,-8.81,91,54,14.14,broken clouds
383,Anloga,GH,5.7947,0.8973,81.37,78,94,9.86,overcast clouds
384,Dahuk,IQ,36.8695,42.994,58.68,47,0,3.18,clear sky
385,Camacha,PT,33.0833,-16.3333,65.62,77,20,3.44,few clouds
386,Pangnirtung,CA,66.1451,-65.7125,1.4,66,20,5.75,few clouds
387,Matane,CA,48.8286,-67.522,33.58,89,100,25.37,overcast clouds
388,Samana,DO,19.2056,-69.3369,86.22,79,40,9.22,scattered clouds
389,Lake Shore,US,39.1071,-76.485,72.07,62,75,5.75,broken clouds
390,Xai-Xai,MZ,-25.0519,33.6442,75.97,85,100,9.71,overcast clouds
391,Toropets,RU,56.4978,31.6353,47.12,74,22,15.48,few clouds
392,Bahia Blanca,AR,-38.7196,-62.2724,66.11,71,95,15.41,overcast clouds
393,Oxapampa,PE,-10.5775,-75.4017,67.17,86,97,2.84,overcast clouds
394,Nata,PA,8.3333,-80.5167,82.51,77,100,2.3,moderate rain
395,Shoranur,IN,10.7667,76.2833,74.03,97,100,2.37,overcast clouds
396,Urengoy,RU,65.9667,78.3667,-11.34,96,25,9.69,scattered clouds
397,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,80.26,64,98,7.49,overcast clouds
398,Sawakin,SD,19.1059,37.3321,84.09,68,17,5.95,few clouds
399,Aden,YE,12.7794,45.0367,79.34,73,2,15.32,clear sky
400,Lima,PE,-12.0432,-77.0282,72.9,64,100,11.5,overcast clouds
401,Pero Pinheiro,PT,38.8578,-9.3235,61.32,82,0,4.61,clear sky
402,Bolu,TR,40.6667,31.5833,44.98,62,0,2.84,clear sky
403,Yambio,SS,4.5721,28.3955,66.81,89,100,2.64,overcast clouds
404,Luleburgaz,TR,41.4039,27.3592,54.28,80,18,10.25,few clouds
405,Arlit,NE,18.7369,7.3853,76.86,19,66,9.57,broken clouds
406,Bridgetown,BB,13.1,-59.6167,86.49,70,40,10.36,scattered clouds
407,Catamarca,AR,-28.4696,-65.7852,76.59,64,75,4.32,broken clouds
408,Manavgat,TR,36.7867,31.4431,63.73,48,1,6.17,clear sky
409,Raga,SS,8.4596,25.678,73.53,32,100,2.91,overcast clouds
410,Nahrin,AF,36.0649,69.1334,46.15,58,96,1.72,overcast clouds
411,Akdagmadeni,TR,39.6603,35.8836,38.93,84,0,1.41,clear sky
412,Ormara,PK,25.2088,64.6357,79.9,73,0,9.1,clear sky
413,Moyale,KE,3.5167,39.0584,68.07,70,6,2.8,clear sky
414,Kisangani,CD,0.5167,25.2,68.22,99,72,2.48,broken clouds
415,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,86,100,20.71,light snow
416,Mitsamiouli,KM,-11.3847,43.2844,77.07,78,0,7.23,clear sky
417,Lokoja,NG,7.8024,6.743,81.16,52,60,3.67,broken clouds
418,Raudeberg,NO,61.9875,5.1352,50.86,49,100,4.41,overcast clouds
419,Arauco,CL,-37.2463,-73.3175,57.22,75,12,7.52,few clouds
420,San Rafael,AR,-34.6177,-68.3301,59.49,74,100,14.07,light rain
421,Ossipee,US,43.6854,-71.1167,66.72,73,40,8.99,scattered clouds
422,Azuaga,ES,38.2667,-5.6833,59.97,62,60,3.13,broken clouds
423,Vuktyl,RU,63.8567,57.3094,13.41,93,100,10.25,light snow
424,Alenquer,BR,-1.9417,-54.7383,87.13,55,99,2.42,overcast clouds
425,Miquelon,PM,47.0975,-56.3814,53.6,98,100,26.15,moderate rain
426,Maceio,BR,-9.6658,-35.7353,80.04,83,75,10.36,broken clouds
427,Virginia Beach,US,36.8529,-75.978,76.05,66,40,11.5,scattered clouds
428,Inongo,CD,-1.95,18.2667,74.46,78,96,0.74,overcast clouds
429,La Asuncion,VE,11.0333,-63.8628,81.43,78,96,11.99,overcast clouds
430,Kulu,TR,39.0951,33.0799,46.54,65,0,7.74,clear sky
431,Strezhevoy,RU,60.7333,77.5889,26.35,96,99,7.65,overcast clouds
432,Agua Branca,BR,-5.8922,-42.6361,81.28,59,54,4.32,broken clouds
433,Marfino,RU,55.7028,37.3822,52.05,74,75,22.37,broken clouds
434,Nuuk,GL,64.1835,-51.7216,23.61,86,40,11.5,scattered clouds
435,Karpathos,GR,35.507,27.2132,62.56,72,12,2.3,few clouds
436,Canto Do Buriti,BR,-8.11,-42.9444,89.83,35,88,6.8,overcast clouds
437,Ambovombe,MG,-25.1667,46.0833,71.53,86,44,22.08,scattered clouds
438,Sesheke,ZM,-17.4759,24.2968,66.58,89,100,6.06,light rain
439,Atasu,KZ,48.6814,71.6433,28.08,93,99,17.47,overcast clouds
440,Marevo,RU,57.3146,32.0804,46.94,77,35,14.32,scattered clouds
441,Faro,PT,37.0194,-7.9322,64.96,94,20,5.75,few clouds
442,Igarka,RU,67.4667,86.5833,-24.25,98,31,6.69,scattered clouds
443,Kentau,KZ,43.5206,68.5094,34.2,46,0,0.96,clear sky
444,Sao Joaquim,BR,-28.2939,-49.9317,60.51,94,70,2.66,broken clouds
445,Abeche,TD,13.8292,20.8324,77.79,24,3,8.81,clear sky
446,Derbent,RU,42.0678,48.2899,52.0,83,3,4.47,clear sky
447,Bentiu,SS,9.2333,29.8333,73.78,31,100,2.35,overcast clouds
448,Galbshtadt,RU,53.2264,78.9845,34.14,99,100,18.05,light snow
449,Scarborough,GB,54.2797,-0.4044,53.33,91,0,1.99,clear sky
450,Rognan,NO,67.0953,15.3878,46.54,97,100,4.14,overcast clouds
451,Olinda,BR,-8.0089,-34.8553,78.53,83,75,8.05,broken clouds
452,Meulaboh,ID,4.1363,96.1285,74.1,96,100,1.63,moderate rain
453,Kalengwa,ZM,-13.4659,25.0027,63.05,95,100,3.31,overcast clouds
454,Ardrishaig,GB,56.0157,-5.4481,53.19,89,100,11.01,overcast clouds
455,Polunochnoye,RU,60.8697,60.4153,14.83,95,100,7.92,light snow
456,Tripoli,LY,32.8752,13.1875,67.86,60,3,2.42,clear sky
457,Oksfjord,NO,70.2396,22.3479,41.18,95,100,3.71,overcast clouds
458,Kidal,ML,18.4411,1.4078,77.2,18,52,11.9,broken clouds
459,Bastia,FR,42.6667,9.3333,65.3,51,0,2.3,clear sky
460,Hofn,IS,64.2539,-15.2082,44.17,80,100,9.37,overcast clouds
461,Abha,SA,18.2164,42.5053,57.45,94,0,5.75,clear sky
462,Husavik,IS,66.0449,-17.3389,36.81,79,85,8.28,overcast clouds
463,Jaque,PA,7.5175,-78.1703,79.48,84,100,4.59,light rain
464,Jega,NG,12.2175,4.3792,81.64,24,33,9.1,scattered clouds
465,Gat,IL,31.61,34.7642,71.4,41,0,3.94,clear sky
466,Souillac,MU,-20.5167,57.5167,73.78,68,40,3.44,scattered clouds
467,Laguna,US,38.421,-121.4238,60.15,73,0,4.61,clear sky
468,Gornopravdinsk,RU,60.05,69.9,16.97,97,98,3.65,overcast clouds
469,Vyyezdnoye,RU,55.3815,43.7864,47.05,92,85,13.0,overcast clouds
